15_1	15_2	15_3	15_4	31_1	31_2	31_3	31_4	58_1	58_2	58_3	58_4	65_1	65_2	65_3	65_4	Amp_1	Amp_2	Amp_3	Amp_4	DF_1	DF_2	DF_3	DF_4	DH_1	DH_2	DH_3	DH_4	DI_1	DI_2	DI_3	DI_4	DK_1	DK_2	DK_3	DK_4	DL_1	DL_2	DL_3	DL_4	C: Student's T-test Significant JHamp_DI	C: Student's T-test significant	N: -Log Student's T-test p-value JHamp_DI	N: Student's T-test q-value JHamp_DI	N: Student's T-test Difference JHamp_DI	N: Student's T-test Test statistic JHamp_DI	T: Protein.Group	T: Protein.Ids	T: Protein.Names	T: Genes	T: First.Protein.Description	T: Gene name	T: PDB	T: UniProt names
15,4213	16.4562	16.5364	16.2981	16.2498	16.3513	16.1133	16.0914	16.4248	16.3715	16.5134	16.3808	16.5371	16.6221	16.5095	16.4963	17.4771	17.7353	18.1039	17.9909	15.9118	15.8751	15.9855	15.7472	16.0263	16.0172	16.1481	16.0946	16.1819	16.1654	16.3288	16.0175	16.3288	16.2523	16.3571	16.2325	16.4022	16.15	16.3763	16.2626	+	JHamp_DI	4.42115	0	1.6534	10.7684	P00803	P00803	LEP_ECOLI	lepB	Signal peptidase I	lepB	1B12;1KN9;1T7D;3IIQ;3S04;6B88	LEP_ECOLI
NaN	10.9916	10.6083	10.796	10.367	10.0413	10.9806	11.6187	NaN	9.8888	10.6975	10.0613	9.86799	10.3263	10.5299	11.3065	10.61	9.792	9.63355	9.97998	11.2343	11.409	11.193	11.4342	10.9158	10.0889	10.3644	10.3984	10.6457	10.5341	10.0993	10.6621	10.3044	9.86987	10.2397	9.8479	10.5684	10.7383	10.8028	11.3708	+	JHamp_DI	0.983007	0.0214342	-0.481393	-1.91496	P00804	P00804	LSPA_ECOLI	lspA	Lipoprotein signal peptidase	lspA		LSPA_ECOLI
18,4605	18.6571	18.3384	18.9354	18.767	18.6791	18.7638	18.8666	19.0517	19.0306	19.0694	19.1529	18.3399	18.3262	18.2078	18.3484	19.7707	19.9208	19.7755	19.7987	18.9931	19.0692	18.7834	19.2718	19.3923	19.2872	19.7382	19.5703	19.8356	19.0842	19.7272	19.786	19.2861	19.4381	19.4565	19.5077	19.2501	19.1844	19.2616	19.3362			0.536914	0.072152	0.208166	1.15909	P00805	P00805	ASPG2_ECOLI	ansB	L-asparaginase 2	ansB	1HO3;1IHD;1JAZ;1JJA;1NNS;3ECA;4ECA;5MQ5;6EOK;6NX6;6NX7;6NX8;6NX9;6NXA;6NXB;6PA2;6PA3;6PA4;6PA5;6PA6;6PA8;6PA9;6PAA;6PAB;6PAC;6UOD;6UOG;6UOH;6V23;6V24;6V25;6V26;6V27;6V28;6V29;6V2A;6V2B;6V2C;6V2G;6V5F;7A0U;7M11;7P9C;7R57;7R5Q;8ECD;8ECE	ASPG2_ECOLI
14,2507	13.4454	13.465	13.5499	13.4717	13.7324	13.6346	13.6494	13.7433	13.7825	13.8106	13.7797	13.7082	13.6479	13.6608	13.7541	13.7995	13.8516	14.1822	14.1317	13.4917	13.5213	13.6633	13.5556	13.6183	13.4471	13.4556	13.5726	13.6665	13.7768	13.767	13.5285	13.6979	13.6628	13.612	13.481	13.5362	13.5853	13.4907	13.3743	+	JHamp_DI	1.4605	0.00577123	0.306591	2.7202	P00811	P00811	AMPC_ECOLI	ampC	Beta-lactamase	ampC	1C3B;1FCM;1FCN;1FCO;1FSW;1FSY;1GA9;1I5Q;1IEL;1IEM;1KDS;1KDW;1KE0;1KE3;1KE4;1KVL;1KVM;1L0D;1L0E;1L0F;1L0G;1L2S;1LL5;1LL9;1LLB;1MXO;1MY8;1O07;1PI4;1PI5;1XGI;1XGJ;2BLS;2FFY;2HDQ;2HDR;2HDS;2HDU;2I72;2P9V;2PU2;2PU4;2R9W;2R9X;2RCX;3BLS;3BM6;3FKV;3FKW;3GQZ;3GR2;3GRJ;3GSG;3GTC;3GV9;3GVB;3IWI;3IWO;3IWQ;3IXB;3IXD;3IXG;3IXH;3O86;3O87;3O88;4E3I;4E3J;4E3K;4E3L;4E3M;4E3N;4E3O;4JXG;4JXS;4JXV;4JXW;4KEN;4KG2;4KG5;4KG6;4KZ3;4KZ4;4KZ5;4KZ6;4KZ7;4KZ8;4KZ9;4KZA;4KZB;4LV0;4LV1;4LV2;4LV3;4OKP;4OLD;4OLG;5JOC;6DPT;6DPX;6DPY;6DPZ;6T35;6T3D;6T5Y;6T7L;6TBW;6TPM;6WHF;6X9Y;6XFS;6XG1;6YEN;6YEO;6YPD	AMPC_ECOLI
NaN	NaN	NaN	NaN	9.56703	9.48681	9.55633	9.59657	9.37794	8.877	9.24576	9.61442	9.9524	9.57215	9.42598	9.68643	8.5981	8.52188	8.27874	8.20961	8.91004	9.56718	9.06866	9.16654	8.90349	9.21557	9.14797	NaN	8.61711	8.39479	9.34873	8.97143	9.66962	9.28343	9.3198	9.18197	9.56232	9.76447	9.66837	9.88445	+	JHamp_DI	0.963468	0.0224572	-0.430931	-1.88251	P00816	P00816	CYNS_ECOLI	cynS	Cyanate hydratase	cynS	1DW9;1DWK;2IU7;2IUO;2IV1;2IVB;2IVG;2IVQ	CYNS_ECOLI
14,4723	11.7817	11.3565	11.826	14.1354	14.2137	13.9484	14.2636	12.6303	12.6935	12.6007	12.7046	13.4087	13.1541	13.0124	13.1971	11.597	11.7419	11.9586	11.572	12.4948	12.6657	12.3613	12.998	11.719	11.5998	11.8549	11.9693	12.3961	12.4958	12.5398	12.1361	12.5152	13.0848	12.9346	13.2081	12.5412	12.5862	12.5385	12.5499	+	JHamp_DI	2.74797	0.00031929	-0.674535	-5.32501	P00861	P00861	DCDA_ECOLI	lysA	Diaminopimelate decarboxylase	lysA	1KNW;1KO0	DCDA_ECOLI
14,1966	16.2068	16.1344	16.1987	16.2345	16.2861	16.2704	16.254	16.1861	16.235	16.252	16.3017	15.9983	16.11	16.0321	16.0358	15.1386	15.0307	15.4195	15.2183	16.8963	16.8877	16.8166	16.8593	16.461	16.5687	16.5163	16.4373	16.76	16.7555	16.7806	16.5476	16.7915	17.0253	16.9394	16.8975	16.765	16.7614	16.7209	16.7384	+	JHamp_DI	5.30657	0	-1.50915	-15.2932	P00864	P00864	CAPP_ECOLI	ppc	Phosphoenolpyruvate carboxylase	ppc	1FIY;1JQN;1QB4	CAPP_ECOLI
14,8226	14.5138	14.521	14.2413	14.6472	14.5038	14.5099	14.9418	14.2938	14.469	14.6567	14.7825	14.2707	14.5664	14.3271	14.6202	12.9504	13.026	13.5056	13.4148	14.9973	15.1187	14.5383	15.1256	14.4165	14.2203	14.3481	14.5938	14.7768	14.7718	14.4221	14.4236	14.5502	15.0811	14.7885	14.5235	14.3715	14.4391	14.703	14.8603	+	JHamp_DI	3.69455	0	-1.37439	-8.01011	P00887	P00887	AROH_ECOLI	aroH	Phospho-2-dehydro-3-deoxyheptonate aldolase, Trp-sensitive	aroH		AROH_ECOLI
12,9867	12.5572	12.8311	12.773	12.7659	12.7825	12.8141	12.6675	12.373	12.4537	12.3799	12.436	12.228	12.3132	12.223	11.898	11.2559	11.2538	10.8527	10.8506	12.4922	12.6053	12.2062	12.7027	12.5704	12.6651	12.392	12.7293	12.8178	12.8346	12.8917	12.5992	12.5226	12.7688	12.7429	12.6614	12.8099	12.707	12.6341	12.7394	+	JHamp_DI	4.90099	0	-1.7326	-13.0353	P00888	P00888	AROF_ECOLI	aroF	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive	aroF	6AGL;6AGM	AROF_ECOLI
16,3419	15.2797	15.1608	15.2061	15.3633	15.3431	15.4719	15.218	15.074	15.2861	15.1198	15.2374	15.3539	15.2977	15.3754	15.2261	14.4087	14.7131	14.9299	14.6629	15.6801	15.5306	15.6761	15.5796	15.4854	15.3411	15.8011	15.5572	15.603	15.2374	15.603	15.537	15.478	15.5127	15.5885	15.8479	15.7122	15.5123	15.4551	15.6513	+	JHamp_DI	2.982	0.000266511	-0.816483	-5.91181	P00893	P00893	ILVI_ECOLI	ilvI	Acetolactate synthase isozyme 3 large subunit	ilvI		ILVI_ECOLI
